Date,btc,xrp,eth,ada
01/09/2019,9630.592773,0.259171,172.458405,0.044952
02/09/2019,9757.473633,0.258064,171.697601,0.044555
03/09/2019,10345.72559,0.260838,178.357758,0.045376
04/09/2019,10621.18066,0.263185,179.491989,0.046784
05/09/2019,10588.18359,0.259912,175.966278,0.045504
06/09/2019,10578.19824,0.256269,174.172226,0.044437
07/09/2019,10353.93164,0.252411,169.955276,0.044426
08/09/2019,10518.11426,0.260777,178.282593,0.046211
09/09/2019,10443.22852,0.263247,181.362488,0.046706
10/09/2019,10336.4082,0.25969,181.212845,0.046903
11/09/2019,10123.03516,0.258692,179.839493,0.046496
12/09/2019,10176.81934,0.255973,178.803772,0.044993
13/09/2019,10415.36231,0.254795,180.975586,0.045462
14/09/2019,10345.40332,0.255485,181.321579,0.045758
15/09/2019,10356.46582,0.26117,188.068436,0.046507
16/09/2019,10347.22266,0.261574,189.689331,0.046815
17/09/2019,10281.51367,0.260862,197.114761,0.04711
18/09/2019,10247.7959,0.284163,208.050598,0.048949
19/09/2019,10200.49609,0.31374,211.247238,0.053296
20/09/2019,10266.31836,0.302455,221.069626,0.052491
21/09/2019,10183.64844,0.294456,217.897385,0.052335
22/09/2019,10024.11523,0.28946,215.486557,0.051894
23/09/2019,10067.96289,0.278602,211.713211,0.049045
24/09/2019,9729.321289,0.268686,201.842087,0.046259
25/09/2019,8603.428711,0.235483,168.133575,0.03761
26/09/2019,8487.669922,0.246448,170.756912,0.039412
27/09/2019,8113.101074,0.243712,166.651703,0.03823
28/09/2019,8251.273438,0.244023,174.680832,0.03951
29/09/2019,8246.037109,0.242592,174.612747,0.038828
30/09/2019,8104.226563,0.241383,170.461349,0.037474
01/10/2019,8299.720703,0.256213,180.209122,0.038886
02/10/2019,8344.212891,0.249618,177.22406,0.038507
03/10/2019,8390.774414,0.253457,180.703705,0.0394
04/10/2019,8259.494141,0.247924,175.238434,0.038362
05/10/2019,8210.149414,0.253608,176.94632,0.039655
06/10/2019,8149.876953,0.253434,176.36438,0.039713
07/10/2019,7989.120605,0.25757,172.940338,0.039305
08/10/2019,8246.849609,0.275829,181.113358,0.041676
09/10/2019,8229.84082,0.278392,182.036301,0.041442
10/10/2019,8585.280273,0.281551,193.191071,0.042629
11/10/2019,8585.262695,0.272109,191.801071,0.041701
12/10/2019,8315.665039,0.271115,182.534027,0.04054
13/10/2019,8336.902344,0.273129,180.861313,0.04054
14/10/2019,8320.832031,0.277626,182.028473,0.041325
15/10/2019,8373.458008,0.296438,186.977051,0.041796
16/10/2019,8204.674805,0.288895,181.343735,0.03976
17/10/2019,8047.8125,0.284556,175.906891,0.038726
18/10/2019,8100.933594,0.30234,177.988556,0.039527
19/10/2019,7973.803711,0.294852,173.649445,0.038079
20/10/2019,7997.807129,0.293042,172.974762,0.039217
21/10/2019,8225.115234,0.294265,175.52475,0.039543
22/10/2019,8243.402344,0.293019,174.90506,0.039271
23/10/2019,8076.228516,0.291556,172.262802,0.03882
24/10/2019,7509.728027,0.274101,162.514114,0.036409
25/10/2019,7490.703125,0.278607,162.189713,0.037678
26/10/2019,8667.577148,0.298039,181.667068,0.04122
27/10/2019,9241.707031,0.293886,179.932632,0.040537
28/10/2019,9565.101563,0.298143,184.397507,0.042315
29/10/2019,9248.44043,0.295991,182.67038,0.042328
30/10/2019,9422.462891,0.301913,190.336395,0.043428
31/10/2019,9202.458008,0.296527,184.797623,0.041963
01/11/2019,9193.992188,0.296389,183.803696,0.041645
02/11/2019,9259.783203,0.292688,184.018158,0.042336
03/11/2019,9324.787109,0.296272,183.994827,0.042581
04/11/2019,9235.607422,0.291236,182.319031,0.041889
05/11/2019,9413.004883,0.299906,186.309311,0.043261
06/11/2019,9340.864258,0.301103,189.113495,0.044301
07/11/2019,9352.393555,0.310175,191.504303,0.044928
08/11/2019,9265.368164,0.292438,187.924271,0.043644
09/11/2019,8809.46875,0.276863,184.311722,0.042298
10/11/2019,8812.489258,0.280273,184.943359,0.042438
11/11/2019,9056.917969,0.280164,189.50293,0.043971
12/11/2019,8759.751953,0.275179,185.564835,0.043257
13/11/2019,8812.033203,0.272379,186.942444,0.043722
14/11/2019,8811.936523,0.272903,188.272507,0.043489
15/11/2019,8705.708008,0.270463,186.058167,0.04313
16/11/2019,8491.166016,0.261694,180.4991,0.043978
17/11/2019,8549.470703,0.264009,183.35083,0.044153
18/11/2019,8573.980469,0.265137,185.041458,0.045403
19/11/2019,8305.134766,0.255646,180.502457,0.043697
20/11/2019,8203.613281,0.256545,177.415283,0.042588
21/11/2019,8023.644531,0.251316,175.673599,0.041169
22/11/2019,7643.569336,0.243775,161.50589,0.038447
23/11/2019,7296.164551,0.231574,150.212219,0.037159
24/11/2019,7398.633789,0.236227,153.430527,0.038371
25/11/2019,7039.977051,0.222832,142.697006,0.035543
26/11/2019,7145.15918,0.218464,146.404312,0.036046
27/11/2019,7220.880859,0.221845,148.39682,0.036955
28/11/2019,7536.820313,0.225221,153.069244,0.039129
29/11/2019,7466.727051,0.224623,151.7686,0.039227
30/11/2019,7764.057129,0.230232,155.286407,0.041416
01/12/2019,7571.616211,0.226466,152.491928,0.040426
02/12/2019,7424.036133,0.225386,151.175476,0.039612
03/12/2019,7323.975586,0.219516,149.058243,0.038047
04/12/2019,7320.125,0.219824,147.918381,0.037906
05/12/2019,7253.241699,0.216249,146.686493,0.037402
06/12/2019,7450.561523,0.222959,149.396484,0.037879
07/12/2019,7547.265625,0.225492,149.197601,0.038312
08/12/2019,7551.338867,0.228453,148.743683,0.038753
09/12/2019,7561.79541,0.230433,151.224396,0.038932
10/12/2019,7397.134277,0.225439,148.179855,0.037474
11/12/2019,7277.197754,0.224241,146.320648,0.036602
12/12/2019,7216.73877,0.222013,143.615662,0.036652
13/12/2019,7244.662109,0.219827,145.655685,0.036719
14/12/2019,7268.902832,0.220748,144.953415,0.03716
15/12/2019,7124.239746,0.217573,142.86499,0.036449
16/12/2019,7153.663086,0.218647,143.139526,0.036662
17/12/2019,6931.31543,0.207189,133.647186,0.034269
18/12/2019,6647.698242,0.184613,122.656837,0.031794
19/12/2019,7277.59082,0.196289,133.05278,0.034456
20/12/2019,7208.636719,0.1909,129.384369,0.033264
21/12/2019,7220.59375,0.19534,129.095963,0.034
22/12/2019,7191.188477,0.193999,128.098129,0.033265
23/12/2019,7508.902344,0.196958,132.306992,0.034441
24/12/2019,7354.393066,0.190992,128.629257,0.033195
25/12/2019,7325.755859,0.192288,129.068497,0.034185
26/12/2019,7274.799316,0.190555,126.486328,0.033745
27/12/2019,7238.141113,0.190403,126.368797,0.034279
28/12/2019,7289.03125,0.191063,127.213013,0.033095
29/12/2019,7317.647461,0.193116,128.266876,0.033637
30/12/2019,7420.272949,0.197063,134.796524,0.034278
31/12/2019,7294.438965,0.194518,132.612274,0.033607
01/01/2020,7194.89209,0.192912,129.630661,0.032832
02/01/2020,7202.55127,0.192708,130.820038,0.033474
03/01/2020,6984.428711,0.187948,127.411263,0.032748
04/01/2020,7345.375488,0.193521,134.168518,0.034191
05/01/2020,7410.45166,0.194367,135.072098,0.034574
06/01/2020,7410.452148,0.195536,136.305542,0.034751
07/01/2020,7768.682129,0.221576,144.311996,0.037291
08/01/2020,8161.935547,0.213834,143.487823,0.037055
09/01/2020,8082.295898,0.20911,141.155777,0.036445
10/01/2020,7878.307617,0.204908,138.967041,0.036335
11/01/2020,8162.190918,0.212097,143.409103,0.036854
12/01/2020,8033.261719,0.212151,143.032547,0.036821
13/01/2020,8189.771973,0.215624,146.220139,0.037696
14/01/2020,8140.933105,0.212528,144.251053,0.037041
15/01/2020,8825.34375,0.234504,165.734619,0.04158
16/01/2020,8812.481445,0.232881,166.332825,0.042572
17/01/2020,8725.209961,0.228725,164.48938,0.041435
18/01/2020,8927.211914,0.23888,170.747726,0.044985
19/01/2020,8941.445313,0.243367,175.46759,0.044851
20/01/2020,8704.631836,0.235384,166.904129,0.04192
21/01/2020,8658.991211,0.23334,167.060471,0.043811
22/01/2020,8744.210938,0.237263,169.608536,0.045939
23/01/2020,8680.650391,0.236173,168.2957,0.045659
24/01/2020,8405.567383,0.226201,162.899368,0.04338
25/01/2020,8440.119141,0.223049,163.067291,0.044968
26/01/2020,8364.410156,0.220345,161.176819,0.043247
27/01/2020,8597.308594,0.230532,168.00885,0.044627
28/01/2020,8912.524414,0.231206,170.884857,0.047839
29/01/2020,9357.470703,0.238691,176.347885,0.052897
30/01/2020,9316.016602,0.235607,174.917709,0.053469
31/01/2020,9508.313477,0.243618,184.736908,0.056034
01/02/2020,9346.357422,0.239191,180.11377,0.053836
02/02/2020,9389.820313,0.241321,183.532501,0.05611
03/02/2020,9344.683594,0.25057,188.607407,0.055724
04/02/2020,9292.841797,0.254557,189.861725,0.056966
05/02/2020,9183.416016,0.266692,189.299103,0.055985
06/02/2020,9617.821289,0.277542,204.1297,0.059243
07/02/2020,9726.00293,0.282205,212.315887,0.059756
08/02/2020,9793.070313,0.278878,222.510971,0.059752
09/02/2020,9863.894531,0.277097,222.982239,0.059938
10/02/2020,10115.55957,0.282486,228.549133,0.061824
11/02/2020,9855.891602,0.273902,223.384933,0.060345
12/02/2020,10202.3877,0.280272,235.898224,0.063193
13/02/2020,10323.96094,0.304195,265.052704,0.068333
14/02/2020,10211.55078,0.326363,268.023285,0.068587
15/02/2020,10313.85645,0.335119,284.56131,0.07058
16/02/2020,9889.179688,0.307265,264.904053,0.063989
17/02/2020,9936.560547,0.294629,259.890564,0.06256
18/02/2020,9691.230469,0.28701,266.50882,0.06006
19/02/2020,10143.79883,0.297884,282.036285,0.062604
20/02/2020,9629.325195,0.277138,259.819855,0.05743
21/02/2020,9611.782227,0.272299,257.891113,0.058186
22/02/2020,9687.707031,0.275345,265.551575,0.058577
23/02/2020,9663.318359,0.275939,262.278412,0.058323
24/02/2020,9921.583008,0.28259,273.705078,0.061544
25/02/2020,9651.3125,0.270541,265.283386,0.058953
26/02/2020,9338.290039,0.253371,247.740204,0.056296
27/02/2020,8825.09375,0.231092,225.687042,0.049436
28/02/2020,8788.728516,0.237111,226.98761,0.049662
29/02/2020,8671.212891,0.236521,226.83345,0.048608
01/03/2020,8599.758789,0.231105,219.752686,0.047506
02/03/2020,8563.264648,0.228935,218.711624,0.045884
03/03/2020,8865.387695,0.238669,230.523972,0.048913
04/03/2020,8788.541992,0.234545,224.565338,0.048761
05/03/2020,8760.285156,0.234555,224.641891,0.049015
06/03/2020,9078.308594,0.23949,229.168427,0.051041
07/03/2020,9121.600586,0.24397,243.750198,0.051528
08/03/2020,8908.206055,0.23711,237.780685,0.048927
09/03/2020,8111.146484,0.206683,201.318497,0.043231
10/03/2020,7922.146973,0.209721,202.863953,0.041554
11/03/2020,7910.089844,0.212293,200.768036,0.041494
12/03/2020,7913.616211,0.208205,194.738922,0.039627
13/03/2020,5017.831055,0.140524,112.689995,0.023954
14/03/2020,5573.077637,0.15924,133.582474,0.028462
15/03/2020,5201.066895,0.147293,123.246063,0.025959
16/03/2020,5385.229492,0.153885,124.996117,0.027111
17/03/2020,5002.578125,0.140982,110.406784,0.02411
18/03/2020,5227.11377,0.144673,113.857643,0.025209
19/03/2020,5245.416504,0.143159,114.839828,0.025315
20/03/2020,6191.653809,0.165092,136.649277,0.030415
21/03/2020,6206.521484,0.156715,133.101761,0.029366
22/03/2020,6185.558105,0.158121,132.851135,0.029446
23/03/2020,5831.374512,0.149929,123.365982,0.027089
24/03/2020,6436.642578,0.157574,135.194138,0.029092
25/03/2020,6738.716797,0.16229,138.914963,0.030187
26/03/2020,6675.170898,0.16168,136.190674,0.029438
27/03/2020,6719.38916,0.175003,138.369934,0.030729
28/03/2020,6467.253906,0.175932,134.032745,0.029254
29/03/2020,6245.624512,0.17568,131.015335,0.029738
30/03/2020,5925.538574,0.163762,125.577896,0.028218
